high,medium,low,listing_id
0.007,0.058,0.935,6828293
0.2754,0.3358,0.3888,7203744
0.1294,0.424,0.4466,6816478
0.0422,0.1644,0.7934,6868890
0.044,0.3466,0.6094,6879338
0.0094,0.1012,0.8894,6898532
0.0048,0.0376,0.9576,6899965
0.0008,0.013,0.9862,7133875
0.0486,0.2346,0.7168,6822218
0.3076,0.204,0.4884,6814018
0.0954,0.2442,0.6604,6896376
0.2164,0.3332,0.4504,6918670
0.0066,0.0662,0.9272,6867839
0.0084,0.065,0.9266,6823554
0.0122,0.0626,0.9252,6934798
0.1334,0.4032,0.4634,6820823
0.0334,0.1198,0.8468,6880212
0.001,0.02,0.979,6934814
0.041,0.1164,0.8426,7254134
0.3706,0.5164,0.113,6938303
0.0638,0.4612,0.475,6813807
0.0492,0.1834,0.7674,6878604
0.0008,0.0196,0.9796,6876763
0.0092,0.0576,0.9332,6844352
0.2072,0.287,0.5058,6915939
0.0582,0.2598,0.682,7109370
0.0536,0.272,0.6744,6855445
0.0312,0.3326,0.6362,6818668
0.0004,0.0046,0.995,6836527
0.0102,0.11,0.8798,6831717
0.1136,0.3192,0.5672,6937162
0.0562,0.219,0.7248,6922876
0.0306,0.4288,0.5406,7109482
0.0316,0.1642,0.8042,6940972
0.1428,0.3678,0.4894,6883790
0.0176,0.2524,0.73,6921643
0.0068,0.104,0.8892,6935700
0.083,0.3136,0.6034,6827025
0.3308,0.0298,0.6394,6943096
0.003,0.0122,0.9848,7161468
0.0532,0.1734,0.7734,6879610
0.074,0.2992,0.6268,6935762
0.051,0.1222,0.8268,6925042
0.0778,0.2796,0.6426,7121050
0.0044,0.022,0.9736,6821601
0.0218,0.1006,0.8776,6926810
0.0212,0.176,0.8028,6946532
0.1846,0.3422,0.4732,6875171
0.157,0.329,0.514,7096285
0.0028,0.027,0.9702,6812321
0.1436,0.22,0.6364,6822697
0.0046,0.1442,0.8512,6941294
0.006,0.0342,0.9598,6873564
0.0168,0.5764,0.4068,6926791
0.6032,0.265,0.1318,7142444
0.0952,0.4972,0.4076,6878128
0.0218,0.144,0.8342,6927428
0.0076,0.035,0.9574,6812674
0.1346,0.388,0.4774,6881774
0.0056,0.0262,0.9682,7167797
0.1334,0.524,0.3426,6865238
0.0476,0.3082,0.6442,6841710
0.0228,0.1134,0.8638,6856334
0.0146,0.1854,0.8,6906462
0.0898,0.1922,0.718,6837438
0.1398,0.5812,0.279,6908277
0.0056,0.0312,0.9632,6841291
0.0866,0.3458,0.5676,6915178
0.1482,0.503,0.3488,6893031
0.475,0.438,0.087,6894985
0.0742,0.269,0.6568,6931134
0.5516,0.2346,0.2138,6872264
0.2098,0.4156,0.3746,6816953
0.3362,0.411,0.2528,7163518
0.0412,0.1708,0.788,6893253
0.03,0.1906,0.7794,6943822
0.0278,0.1782,0.794,6946313
0.013,0.0868,0.9002,6839443
0.0352,0.2454,0.7194,6911338
0.4874,0.2916,0.221,7223877
0.0384,0.2514,0.7102,6917884
0.0048,0.0276,0.9676,6823126
0.0392,0.0622,0.8986,6939488
0.0036,0.0104,0.986,7196924
0.0046,0.0196,0.9758,6905685
0.0008,0.0052,0.994,6894092
0.0082,0.0574,0.9344,6812181
0.0438,0.3178,0.6384,6854610
0.153,0.3234,0.5236,6873754
0.7972,0.1116,0.0912,6859181
0.0124,0.0884,0.8992,6825402
0.034,0.183,0.783,6819526
0.0024,0.0348,0.9628,6896065
0.0324,0.2702,0.6974,6931793
0.0254,0.1112,0.8634,6907360
0.0804,0.2602,0.6594,6813182
0.0262,0.1098,0.864,6823959
0.1336,0.3422,0.5242,6942189
0.0502,0.2142,0.7356,6844384
0.1394,0.2506,0.61,6836888
0.0224,0.1082,0.8694,6917844
0.0722,0.5054,0.4224,6937842
0.0648,0.3784,0.5568,6926917
0.0398,0.2418,0.7184,7160740
0.0462,0.3072,0.6466,6936310
0.1004,0.517,0.3826,6849109
0.0062,0.0354,0.9584,6831018
0.0076,0.055,0.9374,6909842
0.019,0.106,0.875,6861360
0.0196,0.2084,0.772,6883414
0.0202,0.1596,0.8202,6876026
0.0022,0.017,0.9808,7095390
0.2352,0.4256,0.3392,6932265
0.0404,0.2342,0.7254,6870949
0.1046,0.3488,0.5466,6831335
0.1868,0.3872,0.426,6895698
0.0922,0.3134,0.5944,6889889
0.0672,0.1974,0.7354,6876679
0.4218,0.2804,0.2978,6947097
0.0032,0.027,0.9698,6874970
0.2336,0.5578,0.2086,6831069
0.1552,0.325,0.5198,6833628
0.0716,0.3344,0.594,6819282
0.0148,0.094,0.8912,6825025
0.0634,0.3634,0.5732,6856513
0.0004,0.0028,0.9968,6928711
0.1174,0.463,0.4196,6832548
0.0142,0.1378,0.848,6881870
0.4104,0.3636,0.226,6866978
0.3334,0.414,0.2526,7163400
0.0272,0.1328,0.84,6917187
0.0706,0.296,0.6334,6927475
0.2542,0.2346,0.5112,6903243
0.019,0.1428,0.8382,6876188
0.0076,0.074,0.9184,6922219
0.007,0.0338,0.9592,7104085
0.1928,0.3852,0.422,6920897
0.0096,0.0488,0.9416,6812177
0.0284,0.3896,0.582,6941047
0.0046,0.0396,0.9558,6827609
0.0006,0.0244,0.975,6934328
0.0934,0.5876,0.319,6937556
0.0708,0.5268,0.4024,6879765
0.0166,0.1116,0.8718,6942927
0.1038,0.2908,0.6054,6945170
0.0408,0.1964,0.7628,6901915
0.0332,0.1112,0.8556,6824475
0.098,0.197,0.705,6832968
0.0014,0.0272,0.9714,7166718
0.0212,0.1438,0.835,6905079
0.1738,0.5932,0.233,6940297
0.0546,0.4084,0.537,6911080
0.0112,0.0928,0.896,6917208
0.0468,0.4096,0.5436,6858925
0.1898,0.558,0.2522,7169883
0.3346,0.4386,0.2268,6944112
0.046,0.2202,0.7338,6885816
0.0574,0.2214,0.7212,6837733
0.0848,0.2864,0.6288,6828658
0.1496,0.5814,0.269,6839429
0.0072,0.0656,0.9272,7164794
0.1866,0.2596,0.5538,6837661
0.0324,0.1972,0.7704,6883255
0.0358,0.1778,0.7864,6833054
0.036,0.2862,0.6778,7675463
0.0874,0.3162,0.5964,6871526
0.0684,0.298,0.6336,6876295
0.0016,0.0344,0.964,7204045
0.1428,0.3782,0.479,6840357
0.0034,0.0294,0.9672,6917531
0.3642,0.385,0.2508,6886057
0.0962,0.3428,0.561,6833734
0.044,0.2032,0.7528,6908098
0.0522,0.3468,0.601,6860562
0.3558,0.4442,0.2,6859167
0.003,0.0238,0.9732,6812141
0.0074,0.0858,0.9068,6919431
0.084,0.279,0.637,6869389
0.076,0.1688,0.7552,6906034
0.0008,0.009,0.9902,7108495
0.0086,0.1104,0.881,6864681
0.0066,0.0908,0.9026,6893982
0.0108,0.081,0.9082,6862160
0.0534,0.3522,0.5944,6854804
0.0098,0.4134,0.5768,7143164
0.0298,0.0882,0.882,6936651
0.0298,0.1796,0.7906,6837450
0.6004,0.1702,0.2294,6908259
0.0358,0.1716,0.7926,6916539
0.1404,0.2168,0.6428,6947176
0.3458,0.3978,0.2564,6933958
0.2122,0.4384,0.3494,6816549
0.003,0.0504,0.9466,6876117
0.0496,0.2508,0.6996,6848605
0.1336,0.2054,0.661,6840659
0.1956,0.373,0.4314,6823496
0.002,0.0164,0.9816,6912609
0.0122,0.0678,0.92,7097937
0.0104,0.4364,0.5532,6924524
0.0566,0.2398,0.7036,6938236
0.007,0.0274,0.9656,6865751
0.0116,0.1706,0.8178,6936323
0.1476,0.3428,0.5096,6868422
0.0596,0.3032,0.6372,7210133
0.0162,0.0902,0.8936,7215631
0.069,0.3098,0.6212,6940189
0.0032,0.0232,0.9736,6888941
0.1508,0.414,0.4352,6831598
0.0064,0.088,0.9056,6939963
0.1372,0.3992,0.4636,6897175
0.0292,0.1286,0.8422,6816167
0.0216,0.226,0.7524,6812965
0.3076,0.4152,0.2772,7149372
0.0124,0.0556,0.932,6875959
0.0772,0.5276,0.3952,6925644
0.104,0.3558,0.5402,6874269
0.035,0.1006,0.8644,6814721
0.0248,0.478,0.4972,6922432
0.0376,0.162,0.8004,6858861
0.0092,0.0318,0.959,6835339
0.4446,0.2508,0.3046,6896997
0.003,0.011,0.986,6921134
0.0996,0.6812,0.2192,6883685
0.004,0.0422,0.9538,6911406
0.2682,0.3058,0.426,6825733
0.227,0.3884,0.3846,6884462
0.0166,0.0908,0.8926,6858682
0.1438,0.3878,0.4684,6894013
0.3058,0.2342,0.46,6856391
0.0022,0.0946,0.9032,6828064
0.0018,0.0114,0.9868,6817336
0.0662,0.2844,0.6494,6819178
0.253,0.3098,0.4372,7147339
0.083,0.5026,0.4144,6887757
0.0552,0.2772,0.6676,6946859
0.0004,0.0042,0.9954,6855963
0.0512,0.1972,0.7516,6839828
0.1378,0.4254,0.4368,6870806
0.1954,0.3296,0.475,6880221
0.0434,0.2508,0.7058,6921809
0.0676,0.2776,0.6548,6897069
0.25,0.4418,0.3082,6897157
0.0468,0.2046,0.7486,6898912
0.0998,0.1972,0.703,6856271
0.0016,0.0218,0.9766,6888381
0.0044,0.049,0.9466,7099191
0.1088,0.509,0.3822,6917882
0.007,0.0442,0.9488,6931260
0.036,0.669,0.295,6849996
0.068,0.261,0.671,6887973
0.1182,0.6118,0.27,6850205
0.2032,0.3938,0.403,6845657
0.0114,0.0882,0.9004,6930302
0.0162,0.0586,0.9252,6852391
0.3052,0.1536,0.5412,6920411
0.008,0.074,0.918,6907999
0.0146,0.155,0.8304,6864094
0.043,0.2172,0.7398,6813852
0.2424,0.4054,0.3522,7232295
0.0958,0.3848,0.5194,6896558
0.0406,0.6204,0.339,6858919
0.0492,0.151,0.7998,6847828
0.0342,0.2346,0.7312,6925116
0.0132,0.0762,0.9106,6854687
0.0482,0.6898,0.262,6946415
0.001,0.0062,0.9928,6827859
0.29,0.5008,0.2092,6884313
0.0324,0.192,0.7756,6848651
0.0192,0.1846,0.7962,7136298
0.1162,0.335,0.5488,6874534
0.2392,0.4068,0.354,6908942
0.012,0.0838,0.9042,6894718
0.0858,0.2488,0.6654,6876449
0.0906,0.4408,0.4686,6825630
0.0132,0.1584,0.8284,7155655
0.0116,0.0896,0.8988,7201310
0.0148,0.1292,0.856,6864334
0.0178,0.1256,0.8566,6876658
0.2458,0.3714,0.3828,6842370
0.3276,0.3392,0.3332,6835467
0.0794,0.3076,0.613,7227368
0.0898,0.2234,0.6868,6859482
0.0124,0.039,0.9486,6878641
0.0002,0.0042,0.9956,6869916
0.0832,0.2626,0.6542,6841060
0.0606,0.309,0.6304,6887832
0.0074,0.0216,0.971,6905898
0.501,0.338,0.161,7104742
0.027,0.22,0.753,6948090
0.1202,0.368,0.5118,6839851
0.0136,0.0856,0.9008,6934051
0.1338,0.464,0.4022,6888727
0.0264,0.1054,0.8682,7167478
0.1392,0.6458,0.215,6892109
0.4508,0.3404,0.2088,6908544
0.063,0.3688,0.5682,6921725
0.0246,0.7912,0.1842,6932343
0.0022,0.0256,0.9722,6914309
0.0126,0.061,0.9264,6919805
0.0464,0.2286,0.725,6947828
0.028,0.1306,0.8414,6920362
0.5882,0.2564,0.1554,7110179
0.1704,0.404,0.4256,6877834
0.0398,0.149,0.8112,6876966
0.0248,0.082,0.8932,6823918
0.0032,0.0306,0.9662,6871243
0.2902,0.3428,0.367,6928189
0.0726,0.217,0.7104,6852455
0.0398,0.2606,0.6996,7208631
0.1438,0.5448,0.3114,6831811
0.0046,0.0204,0.975,6904276
0.0652,0.334,0.6008,6831589
0.1642,0.2022,0.6336,6901814
0.679,0.1488,0.1722,6854667
0.0048,0.073,0.9222,7192650
0.0006,0.0206,0.9788,6836299
0.0148,0.1498,0.8354,6887919
0.0702,0.324,0.6058,6927679
0.0476,0.2348,0.7176,6855908
0.0108,0.0816,0.9076,6854766
0.0486,0.0866,0.8648,6847472
0.0764,0.2004,0.7232,6862519
0.3348,0.37,0.2952,6938819
0.1086,0.2896,0.6018,6945434
0.6448,0.1478,0.2074,6832722
0.0314,0.1614,0.8072,6852707
0.1082,0.4738,0.418,7177680
0.0088,0.0284,0.9628,6834945
0.0142,0.0738,0.912,6890316
0.0708,0.2108,0.7184,6816620
0.0382,0.184,0.7778,6945175
0.0344,0.1268,0.8388,6914016
0.0058,0.1332,0.861,6852619
0.0866,0.514,0.3994,6813211
0.012,0.0982,0.8898,6820546
0.0088,0.013,0.9782,6836128
0.0316,0.459,0.5094,6850557
0.3814,0.3214,0.2972,6864997
0.0214,0.1058,0.8728,6883705
0.0252,0.1614,0.8134,6898767
0.0384,0.1922,0.7694,6866020
0.3166,0.4982,0.1852,7126382
0.1348,0.394,0.4712,6847427
0.0756,0.2906,0.6338,6841013
0.0012,0.015,0.9838,6909469
0.0278,0.1744,0.7978,6922473
0.1246,0.326,0.5494,6925906
0.1268,0.3684,0.5048,6946014
0.0516,0.3672,0.5812,6820739
0.6082,0.2358,0.156,6927559
0.0008,0.0182,0.981,7174772
0.0354,0.2374,0.7272,6931036
0.013,0.1342,0.8528,6918163
0.1856,0.3176,0.4968,6893604
0.2264,0.325,0.4486,6868844
0.3486,0.4306,0.2208,6814537
0.0132,0.053,0.9338,6916118
0.0404,0.229,0.7306,6838509
0.1784,0.4012,0.4204,6919725
0.0006,0.011,0.9884,6932476
0.0396,0.5796,0.3808,6860496
0.052,0.3906,0.5574,7156799
0.1136,0.2572,0.6292,6837521
0.0538,0.5808,0.3654,6913204
0.0484,0.2934,0.6582,6947516
0.0202,0.1576,0.8222,6838117
0.036,0.3432,0.6208,6933366
0.014,0.1312,0.8548,7134198
0.0748,0.3978,0.5274,6898450
0.0114,0.0658,0.9228,6819926
0.0732,0.2018,0.725,6947698
0.0064,0.025,0.9686,6838721
0.0498,0.573,0.3772,6936661
0.0558,0.2596,0.6846,6912257
0.0804,0.215,0.7046,6905569
0.377,0.3322,0.2908,6927167
0.0234,0.1126,0.864,7150689
0.0286,0.2328,0.7386,6820358
0.0902,0.3264,0.5834,6945045
0.137,0.2376,0.6254,6866884
0.0542,0.2462,0.6996,6820658
0.0794,0.6352,0.2854,6826462
0.0292,0.1598,0.811,6932390
0.3916,0.455,0.1534,6905031
0.074,0.3036,0.6224,6923011
0.136,0.3894,0.4746,6908504
0.4914,0.1296,0.379,6881050
0.0272,0.4336,0.5392,6892968
0.1518,0.2914,0.5568,7346996
0.0438,0.1974,0.7588,6876206
0.048,0.266,0.686,6813475
0.0082,0.0242,0.9676,7190057
0.0474,0.2222,0.7304,6838465
0.049,0.2054,0.7456,6899364
0.0008,0.0072,0.992,6891616
0.041,0.2234,0.7356,6836715
0.0266,0.2452,0.7282,6829616
0.0228,0.2202,0.757,6829144
0.0654,0.2172,0.7174,6893064
0.0136,0.112,0.8744,6861300
0.0598,0.3478,0.5924,6926847
0.0126,0.0608,0.9266,6894021
0.0012,0.012,0.9868,6897946
0.1336,0.105,0.7614,6835716
0.3434,0.3018,0.3548,6832160
0.13,0.2646,0.6054,6835291
0.0196,0.1372,0.8432,6945184
0.0962,0.2984,0.6054,7140488
0.0288,0.3004,0.6708,6937850
0.116,0.2014,0.6826,6899603
0.335,0.3656,0.2994,6903105
0.0166,0.1686,0.8148,6828476
0.0206,0.0796,0.8998,6835098
0.0884,0.1548,0.7568,6830512
0.1292,0.2916,0.5792,6879997
0.101,0.4208,0.4782,7131517
0.1724,0.3596,0.468,6835955
0.0186,0.1566,0.8248,6875250
0.1152,0.4268,0.458,6932794
0.0798,0.361,0.5592,6948263
0.188,0.5434,0.2686,6867201
0.0336,0.0498,0.9166,6882748
0.2186,0.4352,0.3462,6902842
0.025,0.2942,0.6808,6847535
0.0482,0.1848,0.767,6825267
0.022,0.043,0.935,6909277
0.2512,0.3824,0.3664,7152429
0.009,0.0738,0.9172,6931179
0.0846,0.3012,0.6142,6896746
0.0022,0.0608,0.937,6937073
0.0042,0.027,0.9688,6934627
0.1534,0.4012,0.4454,6887878
0.068,0.352,0.58,6921531
0.003,0.0166,0.9804,6897461
0.065,0.2614,0.6736,6862066
0.1016,0.3032,0.5952,6851531
0.0022,0.0146,0.9832,6928550
0.0084,0.1008,0.8908,6945851
0.0014,0.0084,0.9902,6946955
0.1482,0.6778,0.174,6869136
0.0716,0.3262,0.6022,6908667
0.0448,0.3176,0.6376,6820525
0.0946,0.4712,0.4342,6887970
0.025,0.1806,0.7944,6848365
0.0182,0.0886,0.8932,6816173
0.001,0.009,0.99,6900732
0.0532,0.311,0.6358,6815786
0.075,0.3484,0.5766,6945972
0.039,0.198,0.763,6848445
0.1266,0.3474,0.526,6856486
0.0808,0.3156,0.6036,6867010
0.0832,0.134,0.7828,6828257
0.024,0.2258,0.7502,6871807
0.0008,0.0124,0.9868,7212966
0.0194,0.107,0.8736,6889959
0.0096,0.0962,0.8942,6915510
0.0162,0.1072,0.8766,6905402
0.0848,0.602,0.3132,6826100
0.0114,0.1062,0.8824,6848893
0.1292,0.348,0.5228,7155647
0.126,0.7342,0.1398,6812883
0.0062,0.0758,0.918,6866095
0.0004,0.0032,0.9964,6931127
0.0166,0.0886,0.8948,6829407
0.4052,0.3192,0.2756,6867548
0.0824,0.506,0.4116,7132575
0.0212,0.1066,0.8722,6890847
0.0266,0.0454,0.928,6916429
0.4638,0.3672,0.169,6884716
0.5116,0.283,0.2054,6896897
0.0132,0.0942,0.8926,6941572
0.0606,0.316,0.6234,6945277
0.0068,0.0574,0.9358,7133293
0.002,0.011,0.987,7213385
0.0384,0.483,0.4786,6831928
0.0498,0.167,0.7832,6932687
0.0088,0.066,0.9252,6873877
0.1028,0.4136,0.4836,7135459
0.0064,0.049,0.9446,6876620
0.024,0.1948,0.7812,6936163
0.079,0.2264,0.6946,6912398
0.005,0.0284,0.9666,6917655
0.0608,0.1,0.8392,6941149
0.0446,0.1478,0.8076,6941378
0.0194,0.1466,0.834,6882453
0.1056,0.2372,0.6572,7119160
0.1136,0.374,0.5124,6868451
0.0246,0.2274,0.748,6945881
0.1236,0.2228,0.6536,6822541
0.0728,0.4118,0.5154,6884355
0.0344,0.195,0.7706,7132247
0.0612,0.3334,0.6054,6872049
0.0422,0.22,0.7378,6890740
0.1444,0.3092,0.5464,6840897
0.0444,0.1702,0.7854,6847694
0.021,0.1588,0.8202,6938196
0.003,0.044,0.953,6939526
0.001,0.0052,0.9938,6917529
0.0068,0.175,0.8182,6885636
0.002,0.0112,0.9868,7202614
0.1008,0.5436,0.3556,6926453
0.4384,0.3114,0.2502,6844636
0.2766,0.31,0.4134,6879293
0.1976,0.2838,0.5186,6924780
0.0058,0.016,0.9782,6881024
0.2374,0.3772,0.3854,6851374
0.0062,0.0658,0.928,6850953
0.0754,0.2596,0.665,6892292
0.0314,0.1556,0.813,6886159
0.0912,0.3118,0.597,6849877
0.0146,0.0804,0.905,6940840
0.026,0.3564,0.6176,6926838
0.337,0.462,0.201,6879243
0.0392,0.1122,0.8486,6944286
0.2154,0.3724,0.4122,6915587
0.1096,0.3002,0.5902,6881904
0.2334,0.332,0.4346,7154358
0.012,0.1874,0.8006,6899258
0.2766,0.514,0.2094,6855460
0.0218,0.1412,0.837,6864884
0.1092,0.3762,0.5146,6868209
0.0978,0.3358,0.5664,6853834
0.0414,0.2154,0.7432,7210020
0.0176,0.154,0.8284,6933228
0.1728,0.3318,0.4954,6929227
0.1326,0.2808,0.5866,7192346
0.0164,0.1482,0.8354,6928834
0.0032,0.018,0.9788,6812269
0.302,0.3116,0.3864,6851446
0.0152,0.1004,0.8844,6930820
0.0574,0.24,0.7026,6875310
0.0912,0.2994,0.6094,6932397
0.0046,0.0412,0.9542,6904291
0.041,0.5176,0.4414,6921642
0.2308,0.3924,0.3768,7136057
0.0498,0.191,0.7592,6920815
0.2434,0.45,0.3066,6861757
0.5108,0.3802,0.109,6934222
0.1104,0.311,0.5786,6946448
0.0722,0.2272,0.7006,6890569
0.0598,0.2684,0.6718,6884477
0.0156,0.0966,0.8878,7145006
0.019,0.1012,0.8798,6893718
0.0152,0.0642,0.9206,6893330
0.015,0.1182,0.8668,6901780
0.0608,0.3384,0.6008,6815738
0.0062,0.0266,0.9672,6917209
0.0014,0.0164,0.9822,6904227
0.0026,0.0294,0.968,6894402
0.0214,0.1476,0.831,7146083
0.0112,0.0582,0.9306,6902153
0.1084,0.3742,0.5174,6925988
0.0004,0.0052,0.9944,6881323
0.0866,0.0806,0.8328,6937405
0.0756,0.3862,0.5382,7098390
0.3516,0.3502,0.2982,6935942
0.072,0.3894,0.5386,6833510
0.051,0.1954,0.7536,6812857
0.081,0.2248,0.6942,6828441
0.1746,0.3484,0.477,6915711
0.2122,0.3834,0.4044,6880643
0.0154,0.5048,0.4798,7224930
0.0114,0.1194,0.8692,6852614
0.0406,0.1798,0.7796,6853816
0.4562,0.3074,0.2364,6811964
0.0024,0.0508,0.9468,6847800
0.1332,0.3708,0.496,6859897
0.023,0.135,0.842,6882929
0.016,0.062,0.922,7157584
0.0004,0.0036,0.996,6863444
0.0278,0.1078,0.8644,6836902
0.0656,0.5508,0.3836,6918960
0.031,0.581,0.388,6882854
0.0054,0.0362,0.9584,6822755
0.121,0.2708,0.6082,6815184
0.025,0.1764,0.7986,6846582
0.0396,0.1844,0.776,6940309
0.0528,0.1876,0.7596,6924056
0.0094,0.1006,0.89,6824481
0.0352,0.1718,0.793,6839735
0.0268,0.2624,0.7108,6900130
0.0054,0.0364,0.9582,6946739
0.038,0.213,0.749,7144008
0.0088,0.0616,0.9296,6863751
0.096,0.3898,0.5142,6820293
0.0358,0.2276,0.7366,6818472
0.1014,0.2308,0.6678,6832420
0.0246,0.167,0.8084,6879450
0.0184,0.4832,0.4984,6943618
0.0148,0.1598,0.8254,6883463
0.1982,0.2258,0.576,6834919
0.0126,0.0498,0.9376,7505696
0.0018,0.0494,0.9488,6903645
0.3418,0.315,0.3432,6831148
0.081,0.1924,0.7266,6828948
0.0106,0.4072,0.5822,6878495
0.0126,0.1294,0.858,6924862
0.0522,0.186,0.7618,6887802
0.392,0.318,0.29,6903228
0.0018,0.0174,0.9808,6947415
0.225,0.3702,0.4048,6941508
0.0424,0.3028,0.6548,6856111
0.0574,0.2718,0.6708,7126808
0.0106,0.1186,0.8708,6939857
0.1336,0.2868,0.5796,6822528
0.1186,0.3364,0.545,6947631
0.0446,0.3016,0.6538,6887810
0.0318,0.1204,0.8478,6849210
0.0014,0.0182,0.9804,6901742
0.2928,0.3894,0.3178,6850925
0.1702,0.3202,0.5096,7181995
0.0008,0.015,0.9842,6841559
0.034,0.0904,0.8756,6822957
0.0084,0.0502,0.9414,6943349
0.0016,0.0126,0.9858,6923825
0.3242,0.3576,0.3182,6871218
0.4854,0.4238,0.0908,6932761
0.0328,0.1814,0.7858,7168983
0.1568,0.4248,0.4184,6853713
0.0434,0.2554,0.7012,6814124
0.0192,0.1626,0.8182,6828980
0.0066,0.0364,0.957,6939747
0.034,0.2978,0.6682,6862615
0.1114,0.272,0.6166,6911182
0.033,0.1616,0.8054,6947421
0.0192,0.0546,0.9262,7163662
0.1112,0.3258,0.563,6933362
0.11,0.2722,0.6178,6822086
0.0104,0.0516,0.938,6939543
0.0714,0.5534,0.3752,6882675
